feature,cluster
OEZAKLAF_YoY,1
EPUCCUSM.Index,1
MichgnConcIndx,1
CONCCONF.Index,1
LEI.TOTL.Index,1
SAPMI_YoY,1
BCMPEBLS.Index,1
LocalPropertyVol12,1
LocalBondsVol12,1
SSICCONF.Index_QS,1
CONCCONF.Index_QS,1
SACWC_YoY,1
LEI.TOTL.Index_QS,1
GlobalBondVol12,1
LocalEquityVol3,1
GlobalPropertyVol12,1
momentum_value_vol_ratio,1
OEZAKLAF.Index_QS,1
LocalEquityVol6,1
JALSH.Index.Price.to.Sales.Ratio_Diff,1
USDZARVol12,1
JALSH_PEvAgrgtPE_1FY,1
US_NB_Slope_TS,1
CONSSENT.Index_QS,1
momentum_roll_std_12w,1
SAPMI.Index_QS,1
GlobalEquityVol1,1
GE_GB_Corr,1
EPUCCUSM.Index_QS,1
momentum_kurt_26w,1
SA_RB_Curvature,1
GlobalEquityVol3,1
USDZARGret6,1
SA_RB_Slope,1
USDZARVol3,1
SA_CDS_R2,1
MXWD_PEvFwdPE,1
USDZAR_Vol_Level,1
USDZARV6M.Curncy_QS,1
JALSH_Fundamental_PC1,1
LocalBondsVol3,1
LocalEquityVol12,1
momentum_macd_signal,1
SA_RB_Level,1
momentum_quality_vol_ratio,1
LocalPropertyGret6,1
USDZARVol6,1
JALSH.Index.Forward.PE_Diff,1
SA_CDS_Slope,1
LocalBondsVol6,1
LocalPropertyVol6,1
USDZARV3Y.Curncy_QS,1
momentum_rsi_12w,1
LEI.Totl_TS,1
SubIndex_PC1,1
TOP40.Index.PE.Ratio_QS,1
GlobalEquityVol12,1
SACWC.Index_QS,1
momentum_quality_corr,1
US_NB_Slope,1
momentum_roll_sharpe_12w,1
SA_RB_R2,1
US_NB_Curvature_QS,1
momentum_drawdown,1
SAFwdPts_Slope,1
quality_vs_momentum,1
momentum_vs_quality,1
momentum_ret_lag4,1
US_NB_Curvature,1
SA_CDS_Level,1
ZAR_FwdPts_PC1_TS,1
USDZARV9M.Curncy_QS,1
US_NB_Slope_QS,1
SABreakEvenInflPC_1,1
JALSH_PEvFwdPE,1
momentum_roll_mean_12w,1
momentum_ret_lag12,1
momentum_macd_hist,1
SA_RB_Level_TS,1
OVXStructBreak,1
USDZAR_EntDyn,1
DXY_RV_12,1
GlobalBondVol3,1
USDZARV2Y.Curncy_QS,1
LocalBonds_EntDyn,1
GlobalPropertyVol6,1
momentum_skew_26w,1
