Date,Momentum_excess_momentum,Momentum_excess_volatility,Momentum_excess_kurtosis,Momentum_excess_skewness,Value_excess_momentum,Value_excess_volatility,Value_excess_kurtosis,Value_excess_skewness,Quality_excess_momentum,Quality_excess_volatility,Quality_excess_kurtosis,Quality_excess_skewness,Momentum_relative_volatility,Momentum_relative_kurtosis,Momentum_relative_skewness,Value_relative_volatility,Value_relative_kurtosis,Value_relative_skewness,Quality_relative_volatility,Quality_relative_kurtosis,Quality_relative_skewness,Momentum_momentum_1M,Momentum_momentum_3M,Momentum_momentum_6M,Momentum_momentum_12M,Momentum_momentum_24M,Value_momentum_1M,Value_momentum_3M,Value_momentum_6M,Value_momentum_12M,Value_momentum_24M,Quality_momentum_1M,Quality_momentum_3M,Quality_momentum_6M,Quality_momentum_12M,Quality_momentum_24M
2004-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-03-01,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.01,,,,,,,,,
2004-04-01,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,0.01,0.03,,,,,,,,
2004-05-01,,,,,,,,,,,,,,,,,,,,,,-0.02,-0.01,,,,0.01,0.02,,,,,,,,
2004-06-01,,,,,,,,,,,,,,,,,,,,,,0,-0.02,,,,0,0.02,,,,,,,,
2004-07-01,0,0.018973666,-1.777777778,0,0.03,0.018708287,0.142040816,-1.204539519,,,,,0.661437828,2.190915076,-0.758019072,0.197642354,-6.606451613,-2.089143435,,,,0,0.01,0.02,,,0.01,0.02,0.05,,,,,,,
2004-08-01,0.08,0.028047579,-0.565354783,0.520755644,0.11,0.017224014,0.076505492,1.048087791,,,,,2.6179493,-0.448121972,-2.56374093,1.847872871,-0.96978438,-3.367771877,,,,0.01,0.08,0.07,,,0.01,0.08,0.1,,,,,,,
2004-09-01,0.06,0.029664794,-0.70661157,0.704978539,0.1,0.018618987,-0.221893491,0.935323106,,,,,1.091320958,-2.900930952,0.367318274,0.93417292,-2.349296951,0.571773906,,,,0.07,0.15,0.13,,,0.06,0.15,0.17,,,,,,,
2004-10-01,0.07,0.02786874,-0.561771261,0.845753786,0.08,0.021602469,-0.607346939,0.705100121,,,,,0.852802865,1.420648286,0.179687426,0.8238003,1.224324105,0.436396338,,,,0.07,0.19,0.2,,,0.08,0.19,0.21,,,,,,,
2004-11-01,0.15,0.045934736,-0.970732913,0.759514751,0.12,0.028982753,-1.469387755,0.431959398,,,,,1.286231291,0.853165138,0.338939319,0.929528194,1.297406245,-0.589505196,,,,0.05,0.24,0.32,,,0.05,0.21,0.29,,,,,,,
2004-12-01,0.11,0.05419102,-1.035581535,0.347539727,0.07,0.04070217,-1.048067074,-0.248378412,,,,,0.906049421,0.302873471,-25.41008645,0.653115117,0.503932335,36.79210679,,,,0.12,0.21,0.36,,,0.08,0.17,0.32,,,,,,,
2005-01-01,0.06,0.057619441,-1.090434025,0.639068913,0.03,0.042308392,-1.288911083,0.208292469,,,,,1.199037101,0.292165554,0.920591932,0.802730901,0.498182765,-4.307805528,,,,0.04,0.16,0.35,0.37,,0.04,0.13,0.32,0.37,,,,,,
2005-02-01,0.03,0.053572381,-0.302079666,0.936188158,0.02,0.040331956,-1.137194303,0.215207921,,,,,1.202833534,0.206051003,4.059840271,0.797030965,0.535336777,-2.747872388,,,,0,0.08,0.32,0.39,,0.01,0.1,0.31,0.41,,,,,,
2005-03-01,-0.05,0.066458007,-0.691757067,0.522903158,-0.07,0.055647701,-1.164924957,-0.040119431,,,,,1.819763298,0.533195134,0.466329785,1.41557273,0.448601169,-1.634615768,,,,0.04,0,0.21,0.34,,0.05,0.02,0.19,0.36,,,,,,
2005-04-01,-0.05,0.066458007,-0.691757067,0.522903158,-0.08,0.05573748,-1.175486747,0.05763947,,,,,1.571320343,1.118666836,1.66267389,1.316561177,2.373127028,-0.294300329,,,,-0.04,-0.03,0.13,0.33,,-0.04,-0.03,0.1,0.31,,,,,,
2005-05-01,-0.02,0.076594169,-0.357520661,0.797441438,-0.05,0.064316924,-0.945468453,0.365252209,,,,,1.040833,1.103746123,1.296353737,0.900561994,1.498504198,-2.136590098,,,,-0.03,0.02,0.1,0.42,,-0.04,-0.03,0.07,0.36,,,,,,
2005-06-01,-0.03,0.077910205,-0.424487514,0.790808089,-0.04,0.063140056,-0.862003781,0.334610312,,,,,1.080253546,0.741547897,14.94470446,0.958673901,1.330392995,-12.8090328,,,,0.09,0.08,0.08,0.44,,0.05,0.05,0.07,0.39,,,,,,
2005-07-01,0.05,0.079603183,-0.981110471,0.263837115,0.04,0.068019605,-1.316911527,-0.178530161,,,,,1.220952549,1.244933647,-3.110103756,1.196538008,1.137498442,-11.2578701,,,,0.02,0.19,0.16,0.51,,0.04,0.18,0.15,0.47,,,,,,
2005-08-01,-0.03,0.08191459,-0.831807854,0.699542266,-0.07,0.071949056,-1.360214677,0.421432318,,,,,1.066170132,1.028862091,-4.68E-16,1.026345661,0.927365622,-0.054811952,,,,0.08,0.13,0.15,0.47,,0.09,0.14,0.11,0.42,,,,,,
2005-09-01,0.13,0.074408781,-1.311214783,0.245986885,0.08,0.065012819,-1.635283464,-0.090538231,,,,,0.974714049,0.782052136,8.980671839,0.964274111,0.561451081,9.853848038,,,,0.03,0.2,0.28,0.49,,0.01,0.18,0.23,0.42,,,,,,
2005-10-01,0.01,0.097245394,-1.334406899,-0.026073973,-0.02,0.085009803,-1.552940456,-0.218413905,,,,,1.032065683,1.090685733,0.943044317,0.893237001,1.188058023,0.641750688,,,,0.09,0.08,0.27,0.4,,0.08,0.06,0.24,0.34,,,,,,
