Date,SA_NB_Level,SA_NB_Slope,SA_NB_Curvature,SA_NB_Lambda,SA_NB_R2,SA_NB_Level_QS,SA_NB_Slope_QS,SA_NB_Curvature_QS,SA_NB_Lambda_QS,SA_NB_R2_QS,SA_NB_Level_TS,SA_NB_Slope_TS,SA_RB_Level,SA_RB_Slope,SA_RB_Curvature,SA_RB_Lambda,SA_RB_R2,SA_RB_Level_QS,SA_RB_Slope_QS,SA_RB_Curvature_QS,SA_RB_Lambda_QS,SA_RB_R2_QS,SA_RB_Level_TS,SA_RB_Slope_TS,US_NB_Level,US_NB_Slope,US_NB_Curvature,US_NB_Lambda,US_NB_R2,US_NB_Level_QS,US_NB_Slope_QS,US_NB_Curvature_QS,US_NB_Lambda_QS,US_NB_R2_QS,US_NB_Level_TS,US_NB_Slope_TS,US_RB_Level,US_RB_Slope,US_RB_Curvature,US_RB_Lambda,US_RB_R2,US_RB_Level_QS,US_RB_Slope_QS,US_RB_Curvature_QS,US_RB_Lambda_QS,US_RB_R2_QS,US_RB_Level_TS,US_RB_Slope_TS,SA_CDS_Level,SA_CDS_Slope,SA_CDS_Curvature,SA_CDS_Lambda,SA_CDS_R2,SA_CDS_Level_QS,SA_CDS_Slope_QS,SA_CDS_Curvature_QS,SA_CDS_Lambda_QS,SA_CDS_R2_QS,USDZAR_Vol_Level,USDZAR_Vol_Slope,USDZAR_Vol_QS_Level,USDZAR_Vol_QS_Slope,USDZARVON.Curncy_QS,USDZARV1W.Curncy_QS,USDZARV2W.Curncy_QS,USDZARV3W.Curncy_QS,USDZARV1M.Curncy_QS,USDZARV2M.Curncy_QS,USDZARV3M.Curncy_QS,USDZARV6M.Curncy_QS,USDZARV9M.Curncy_QS,USDZARV1Y.Curncy_QS,USDZARV18M.Curncy_QS,USDZAR_Vol_Level.1,USDZAR_Vol_Slope.1,USDZAR_Vol_QS_Level.1,USDZAR_Vol_QS_Slope.1,USDZARVON.Curncy_QS.1,USDZARV1W.Curncy_QS.1,USDZARV2W.Curncy_QS.1,USDZARV3W.Curncy_QS.1,USDZARV1M.Curncy_QS.1,USDZARV2M.Curncy_QS.1,USDZARV3M.Curncy_QS.1,USDZARV6M.Curncy_QS.1,USDZARV9M.Curncy_QS.1,USDZARV1Y.Curncy_QS.1,USDZARV18M.Curncy_QS.1,USDEUR_Vol_Level,USDEUR_Vol_Slope,USDZAR_Vol_QS_Level.2,USDZAR_Vol_QS_Slope.2,EURUSDV1W.Curncy_QS,EURUSDV2W.Curncy_QS,EURUSDV1M.Curncy_QS,EURUSDV2M.Curncy_QS,EURUSDV3M.Curncy_QS,EURUSDV6M.Curncy_QS,EURUSDV9M.Curncy_QS,EURUSDV1Y.Curncy_QS
2004-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.101201716,-3.460284905,-7.738035139,1.37,0.976741258,0.213,0.238,0.345,1,0.672,-11.50422505,-17.33136899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.7972499,-55.35415698,-322.4523564,1.37,0.986472518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.956406247,-3.128409891,-8.250724059,1.37,0.970464817,0.116,0.325,0.257,1,0.574,-15.52269037,-15.68192569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.0062111,-50.28904075,-341.0304767,1.37,0.985882188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.634,0.502,0.502,0.458,0.418,0.336,0.324,0.306
2004-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.825120977,-2.936677289,-8.347253945,1.37,0.95849888,0.095,0.367,0.25,1,0.429,-21.71436454,20.67548175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181.4570191,-18.81556617,-461.403997,1.37,0.95421859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766,0.714,0.644,0.568,0.546,0.478,0.436,0.422
2004-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.424778411,-4.013025206,-6.569956147,1.37,0.985699227,0.473,0.074,0.475,1,0.807,-11.27589428,-9.77352885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.4224961,-21.96008788,-523.733666,1.37,0.981058145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.522,0.42,0.524,0.478,0.414,0.382,0.388
2004-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.471694291,-4.076416919,-5.67679114,1.37,0.98589114,0.515,0.07,0.537,1,0.798,17.09591079,-17.92701588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223.036561,2.559098209,-578.4474896,1.37,0.977365224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.538,0.472,0.338,0.424,0.394,0.398,0.368,0.382
2004-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.387193464,-3.714835789,-5.270494232,1.37,0.978973379,0.447,0.198,0.576,1,0.66,13.87307485,-12.03279235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207.3521735,-27.06818358,-538.496003,1.37,0.988316341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.308,0.27,0.212,0.194,0.17,0.174,0.16
2004-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.265044756,-3.413387471,-5.314238023,1.37,0.973447495,0.37,0.328,0.582,1,0.556,-10.19145337,16.3909605,2.746193761,9.461285874,-19.51950178,1.37,0.999989766,NA,NA,NA,NA,NA,NA,NA,201.5289303,-46.09820022,-491.4079747,1.37,0.976805354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.542,0.304,0.13,0.168,0.15,0.174,0.174,0.18
2004-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.921651563,-2.717074747,-5.988033143,1.37,0.959251997,0.121,0.564,0.515,1,0.335,-27.92630526,43.61710754,2.5300523,46.05498616,-56.5504851,1.37,0.999384918,NA,NA,NA,NA,NA,NA,NA,189.1691457,-3.702408947,-562.1068551,1.37,0.985535541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.334,0.29,0.212,0.268,0.254,0.274,0.25,0.278
2004-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.850683352,-2.620333701,-5.117314717,1.37,0.950889503,0.107,0.608,0.645,1,0.254,-40.46502766,64.4209175,2.512600659,51.42302348,-61.9080718,1.37,0.998748832,NA,NA,NA,NA,NA,NA,NA,179.1319287,1.850482395,-544.8828542,1.37,0.98710553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.156,0.128,0.1,0.118,0.086,0.142,0.154,0.156
2004-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.746590254,-2.20830693,-5.397160839,1.37,0.941412,0.081,0.738,0.61,1,0.186,-43.83383537,63.75516901,2.56604598,110.6642933,-123.6061477,1.37,0.999876613,NA,NA,NA,NA,NA,NA,NA,140.3022429,-16.56627606,-399.781397,1.37,0.993523774,0.011,0.838,0.637,1,0.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,0.438,0.312,0.28,0.306,0.326,0.324,0.336
