Date,SA_NB_Level,SA_NB_Slope,SA_NB_Curvature,SA_NB_Level_QS,SA_NB_Slope_QS,SA_NB_Curvature_QS,SA_NB_Level_TS,SA_NB_Slope_TS,US_NB_Level,US_NB_Slope,US_NB_Curvature,US_NB_Level_QS,US_NB_Slope_QS,US_NB_Curvature_QS,US_NB_Level_TS,US_NB_Slope_TS,USDZARV1W.Curncy_QS,USDZARV2W.Curncy_QS,USDZARV3W.Curncy_QS,USDZARV1M.Curncy_QS,USDZARV2M.Curncy_QS,USDZARV3M.Curncy_QS,USDZARV6M.Curncy_QS,USDZARV9M.Curncy_QS,USDZARV1Y.Curncy_QS,USDZARV18M.Curncy_QS,USDZAR_Vol_Level.1
2004-02-01,NA,NA,NA,NA,NA,NA,NA,NA,5.101201716,-3.460284905,-7.738035139,0.213,0.238,0.345,-11.50422505,-17.33136899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-03-01,NA,NA,NA,NA,NA,NA,NA,NA,4.956406247,-3.128409891,-8.250724059,0.116,0.325,0.257,-15.52269037,-15.68192569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-04-01,NA,NA,NA,NA,NA,NA,NA,NA,4.825120977,-2.936677289,-8.347253945,0.095,0.367,0.25,-21.71436454,20.67548175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-05-01,NA,NA,NA,NA,NA,NA,NA,NA,5.424778411,-4.013025206,-6.569956147,0.473,0.074,0.475,-11.27589428,-9.77352885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-06-01,NA,NA,NA,NA,NA,NA,NA,NA,5.471694291,-4.076416919,-5.67679114,0.515,0.07,0.537,17.09591079,-17.92701588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-07-01,NA,NA,NA,NA,NA,NA,NA,NA,5.387193464,-3.714835789,-5.270494232,0.447,0.198,0.576,13.87307485,-12.03279235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-08-01,NA,NA,NA,NA,NA,NA,NA,NA,5.265044756,-3.413387471,-5.314238023,0.37,0.328,0.582,-10.19145337,16.3909605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-09-01,NA,NA,NA,NA,NA,NA,NA,NA,4.921651563,-2.717074747,-5.988033143,0.121,0.564,0.515,-27.92630526,43.61710754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-10-01,NA,NA,NA,NA,NA,NA,NA,NA,4.850683352,-2.620333701,-5.117314717,0.107,0.608,0.645,-40.46502766,64.4209175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-11-01,NA,NA,NA,NA,NA,NA,NA,NA,4.746590254,-2.20830693,-5.397160839,0.081,0.738,0.61,-43.83383537,63.75516901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-12-01,NA,NA,NA,NA,NA,NA,NA,NA,4.996726291,-2.334672759,-4.522469916,0.22,0.721,0.783,-32.840978,59.45515357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,NA,NA,NA,NA,NA,NA,NA,NA,4.768658237,-2.156571614,-3.684162706,0.099,0.776,0.921,-29.65123337,52.12865512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-02-01,7.748418199,-0.446874469,-1.004418086,NA,NA,NA,NA,NA,4.559952149,-1.834796921,-2.575240636,0.031,0.888,0.998,-32.60904944,49.73439737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-03-01,7.429918314,-0.097189777,-1.095733419,NA,NA,NA,NA,NA,4.718582319,-1.875394102,-2.000711092,0.093,0.884,0.996,-36.86342181,52.97375692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-04-01,8.515146974,-1.285314497,-1.71247597,NA,NA,NA,NA,NA,4.798306892,-2.052734023,-1.295291872,0.167,0.834,0.997,-27.58091676,44.04025985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-05-01,8.457636212,-1.556308289,-3.257481112,NA,NA,NA,NA,NA,4.498775365,-1.533923748,-1.434229851,0.038,0.992,0.99,-27.8303727,44.01097238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-01,8.649803134,-1.775573993,-3.11890354,NA,NA,NA,NA,NA,4.287916788,-1.229650746,-1.289412618,0.007,1,0.989,-27.35202261,42.78765173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-01,8.089614134,-1.220085466,-2.274190301,NA,NA,NA,NA,NA,4.139110908,-0.958600559,-0.823052471,0.001,0.999,0.999,-28.61311538,46.34155405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-01,8.047586554,-1.204845478,-2.382830967,NA,NA,NA,NA,NA,4.429873279,-1.041548615,-0.34717835,0.081,0.99,1,-25.72017924,51.32447375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
