Date,OEZAKLAF_YoY,USDZAR_Ent,PPP.ZA.Index_QS,LocalBonds_Ent,SA_CDS_Lambda_QS,XAULempZiev,US_RB_Lambda_QS,SA_RB_Lambda,SA_CDS_Lambda,US_NB_Lambda,SA_NB_Lambda_QS
2012-04-23,-0.0238,15.2,1.0,12.6,1.0,14.8,1.0,1.37,1.37,1.37,1.0
2012-04-30,0.0272,14.8,1.0,12.6,1.0,15.0,1.0,1.37,1.37,1.37,1.0
2012-05-07,0.0272,14.6,1.0,12.2,1.0,14.2,1.0,1.37,1.37,1.37,1.0
2012-05-14,0.0272,14.2,1.0,12.4,1.0,14.6,1.0,1.37,1.37,1.37,1.0
2012-05-21,0.0272,14.4,1.0,12.6,1.0,14.4,1.0,1.37,1.37,1.37,1.0
2012-05-28,0.1052,14.2,1.0,12.4,1.0,14.2,1.0,1.37,1.37,1.37,1.0
2012-06-04,0.1052,14.2,1.0,12.2,1.0,14.4,1.0,1.37,1.37,1.37,1.0
2012-06-11,0.1052,14.0,1.0,11.8,1.0,13.8,1.0,1.37,1.37,1.37,1.0
2012-06-18,0.1052,14.0,1.0,12.4,1.0,14.2,1.0,1.37,1.37,1.37,1.0
2012-06-25,0.1052,14.4,1.0,12.4,1.0,14.2,1.0,1.37,1.37,1.37,1.0
2012-07-02,0.2038,14.2,1.0,12.0,1.0,14.6,1.0,1.37,1.37,1.37,1.0
2012-07-09,0.2038,14.6,1.0,12.2,1.0,14.2,1.0,1.37,1.37,1.37,1.0
2012-07-16,0.2038,14.2,1.0,12.2,1.0,14.0,1.0,1.37,1.37,1.37,1.0
2012-07-23,0.2038,14.2,1.0,12.4,1.0,13.4,1.0,1.37,1.37,1.37,1.0
2012-07-30,0.3042,14.4,1.0,11.8,1.0,13.6,1.0,1.37,1.37,1.37,1.0
2012-08-06,0.3042,14.6,1.0,11.6,1.0,13.8,1.0,1.37,1.37,1.37,1.0
2012-08-13,0.3042,15.2,1.0,11.8,1.0,13.8,1.0,1.37,1.37,1.37,1.0
2012-08-20,0.3042,14.6,1.0,11.4,1.0,13.8,1.0,1.37,1.37,1.37,1.0
2012-08-27,0.3888,14.6,1.0,11.8,1.0,13.4,1.0,1.37,1.37,1.37,1.0
2012-09-03,0.3869,14.4,1.0,11.6,1.0,13.8,1.0,1.37,1.37,1.37,1.0
2012-09-10,0.3869,14.6,1.0,11.6,1.0,13.6,1.0,1.37,1.37,1.37,1.0
2012-09-17,0.3869,14.8,1.0,11.6,1.0,14.2,1.0,1.37,1.37,1.37,1.0
2012-09-24,0.3869,14.8,1.0,11.8,1.0,13.8,1.0,1.37,1.37,1.37,1.0
2012-10-01,0.4329,14.2,1.0,12.0,1.0,13.4,1.0,1.37,1.37,1.37,1.0
2012-10-08,0.4329,14.4,1.0,12.0,1.0,13.4,1.0,1.37,1.37,1.37,1.0
2012-10-15,0.4329,13.8,1.0,12.0,1.0,13.0,1.0,1.37,1.37,1.37,1.0
2012-10-22,0.4329,14.0,1.0,11.8,1.0,13.4,1.0,1.37,1.37,1.37,1.0
2012-10-29,0.424,14.2,1.0,12.0,1.0,13.0,1.0,1.37,1.37,1.37,1.0
2012-11-05,0.424,13.6,1.0,11.8,1.0,13.0,1.0,1.37,1.37,1.37,1.0
2012-11-12,0.424,13.8,1.0,12.2,1.0,13.0,1.0,1.37,1.37,1.37,1.0
2012-11-19,0.424,14.6,1.0,12.8,1.0,13.0,1.0,1.37,1.37,1.37,1.0
2012-11-26,0.3456,15.2,1.0,12.2,1.0,13.6,1.0,1.37,1.37,1.37,1.0
2012-12-03,0.3732,15.4,1.0,12.4,1.0,13.0,1.0,1.37,1.37,1.37,1.0
2012-12-10,0.3732,15.2,1.0,12.0,1.0,12.6,1.0,1.37,1.37,1.37,1.0
2012-12-17,0.3732,14.8,1.0,12.8,1.0,13.0,1.0,1.37,1.37,1.37,1.0
2012-12-24,0.3732,15.2,1.0,12.2,1.0,12.8,1.0,1.37,1.37,1.37,1.0
2012-12-31,0.2951,15.2,1.0,12.8,1.0,13.0,1.0,1.37,1.37,1.37,1.0
2013-01-07,0.2951,14.8,1.0,12.2,1.0,13.2,1.0,1.37,1.37,1.37,1.0
2013-01-14,0.2951,14.2,1.0,12.6,1.0,12.4,1.0,1.37,1.37,1.37,1.0
2013-01-21,0.2951,14.4,1.0,12.0,1.0,12.8,1.0,1.37,1.37,1.37,1.0
2013-01-28,0.2131,14.2,1.0,12.4,1.0,12.4,1.0,1.37,1.37,1.37,1.0
2013-02-04,0.2131,14.4,1.0,12.2,1.0,13.0,1.0,1.37,1.37,1.37,1.0
2013-02-11,0.2131,13.8,1.0,12.4,1.0,13.0,1.0,1.37,1.37,1.37,1.0
2013-02-18,0.2131,14.0,1.0,12.4,1.0,13.2,1.0,1.37,1.37,1.37,1.0
2013-02-25,0.2131,13.6,1.0,12.4,1.0,12.6,1.0,1.37,1.37,1.37,1.0
2013-03-04,0.15,14.0,1.0,12.8,1.0,12.8,1.0,1.37,1.37,1.37,1.0
2013-03-11,0.15,14.0,1.0,12.8,1.0,12.2,1.0,1.37,1.37,1.37,1.0
2013-03-18,0.15,14.0,1.0,12.4,1.0,12.8,1.0,1.37,1.37,1.37,1.0
2013-03-25,0.15,14.0,1.0,12.2,1.0,12.4,1.0,1.37,1.37,1.37,1.0
2013-04-01,0.1137,13.6,1.0,12.2,1.0,12.6,1.0,1.37,1.37,1.37,1.0
2013-04-08,0.1137,13.8,1.0,12.4,1.0,12.0,1.0,1.37,1.37,1.37,1.0
