Feature,Cluster,Mean_Distance
BCMPEBLS.Index,1,0.3194434695250584
SACWC_YoY,1,0.32350492919794405
LEI.TOTL.Index,1,0.36149670454232075
OEZAKLAF_YoY,1,0.39444400859346085
GlobalPropertyVol12,2,0.5763395182158703
GlobalEquityVol12,2,0.5787786120000512
LocalPropertyVol12,2,0.5793339702065992
LocalEquityVol12,2,0.5859839927812183
GlobalBondVol12,2,0.5961034615506072
LocalBondsVol12,2,0.6048972191400922
SA_RB_Level,2,0.6050910799246165
GlobalEquityVol1,2,0.6085525134644342
US_NB_Curvature,2,0.6104797975225781
SAFwdPtsl_Level,2,0.6153199903684475
US_NB_Slope,2,0.6197986159802045
USDZARVol12,2,0.6207485164176242
MXWD_Fundamental_PC1,3,0.41412233198693593
MXWD.Index.Forward.PE_Diff,3,0.443614360519177
MXWD.Index.PE.Ratio_Diff,3,0.47387191906125226
MXWD.Index.PE.Ratio.Next.FY.Aggregated_Diff,3,0.47998168204443453
MXWD.Index.Price.to.Ebitda_Diff,3,0.48418769132568673
SA_CDS_Slope,4,0.4461262185174343
SA_CDS_Curvature,4,0.45062235540543905
SA_CDS_Level,4,0.49414209280109267
SA_CDS_R2,4,0.5054966739263802
SA_NB_Level,4,0.5421167818350694
SA_RB_Curvature,5,0.4973133922864415
SA_RB_Slope,5,0.4991770156890872
SA_RB_Slope_QS,5,0.5125946525217526
SA_RB_Curvature_QS,5,0.525715341924719
SA_RB_R2,5,0.5698406858452095
SA_RB_R2_QS,5,0.5804838099529487
JALSH_Fundamental_PC1,6,0.6939275438095394
JALSH.Index.PE.Ratio_Diff,6,0.7087306917544912
GE_GB_Corr,6,0.7153339447867123
US_NB_Level,6,0.7206511817128898
JALSH_PEvAgrgtPE_1FY,6,0.7210370687076022
GlobalPropertyVol6,6,0.7216178490769117
JALSH_RV_12_TS,6,0.7224889352384867
InflGrowthSurpPC1,6,0.7231711096010596
LocalPropertyVol6,6,0.724156200846854
SubIndex_PC1,6,0.7266923120139064
SA_NB_Curvature,6,0.7272398666572212
GlobalEquityVol6,6,0.7276885915918958
SA_RB_Level_TS,6,0.72925701585561
