Date,SPX,JALSH,VIX,MOVE,SAVIT40,VIX3M,VIX6M,VIX1Y
1998-10-01,1017.01,4695.37,40.95,124.22,,,,
1998-11-01,1098.67,5357.66,28.05,121.06,,,,
1998-12-01,1163.63,5202.07,26.01,87.22,,,,
1999-01-01,1229.23,5025.85,24.42,121.13,,,,
1999-02-01,1279.64,5427.55,26.25,87.16,,,,
1999-03-01,1238.33,5557.48,27.88,101.44,,,,
1999-04-01,1286.37,5986.94,23.26,85.17,,,,
1999-05-01,1335.18,6695.40,25.07,84.85,,,,
1999-06-01,1301.84,6159.88,25.39,104.78,,,,
1999-07-01,1372.71,6738.20,21.09,102.05,,,,
1999-08-01,1328.72,6831.69,24.64,106.97,,,,
1999-09-01,1320.41,6673.98,24.45,109.10,,,,
1999-10-01,1282.71,6625.25,25.41,104.59,,,,
1999-11-01,1362.93,6937.77,22.20,94.14,,,,
1999-12-01,1388.91,7420.57,24.18,82.64,,,,
2000-01-01,1469.25,8385.40,24.64,98.89,,,,
2000-02-01,1394.46,8277.19,24.95,106.26,,,,
2000-03-01,1366.42,7759.34,23.37,106.64,,,,
2000-04-01,1498.58,7791.60,24.11,106.45,,,,
2000-05-01,1452.43,7270.86,26.20,103.83,,,,
2000-06-01,1420.60,7191.36,23.65,103.10,,,,
2000-07-01,1454.60,7584.45,19.54,96.62,,,,
2000-08-01,1430.83,7635.83,20.74,87.04,,,,
2000-09-01,1517.68,8377.15,16.84,79.54,,,,
2000-10-01,1436.51,8161.88,20.57,82.81,,,,
2000-11-01,1429.40,8039.58,23.63,87.12,,,,
2000-12-01,1314.95,7711.55,29.65,91.93,,,,
2001-01-01,1320.28,8164.34,26.85,104.91,,,,
2001-02-01,1366.01,8942.43,22.02,103.02,,,,
2001-03-01,1239.94,8916.34,28.35,110.77,,,,
2001-04-01,1160.33,8093.84,28.64,111.55,,,,
2001-05-01,1249.46,8902.39,25.48,108.72,,,,
2001-06-01,1255.82,9270.90,22.64,105.49,,,,
2001-07-01,1224.42,9089.89,19.06,96.60,,,,
2001-08-01,1211.23,8456.01,21.62,91.15,,,,
2001-09-01,1133.58,8886.72,24.92,94.28,,,,
2001-10-01,1040.94,7997.87,31.93,115.96,,,,
2001-11-01,1059.78,8473.52,33.56,117.52,,,,
2001-12-01,1139.45,9404.06,23.84,138.92,,,,
2002-01-01,1148.08,10441.68,23.80,137.36,,,,
2002-02-01,1130.21,10318.92,21.09,115.05,,20.84,,
2002-03-01,1106.73,10859.72,21.59,105.22,,21.75,,
2002-04-01,1147.39,10999.48,17.40,119.52,,18.33,,
2002-05-01,1076.92,10992.12,21.91,101.45,,20.83,,
2002-06-01,1067.14,11185.02,19.98,104.51,,20.82,,
2002-07-01,989.81,10657.73,25.40,119.60,,23.63,,
2002-08-01,911.62,9239.02,32.03,132.29,,29.12,,
2002-09-01,916.07,9677.26,32.64,137.63,,32.50,,
2002-10-01,815.28,9465.33,39.69,145.67,,38.21,,
2002-11-01,885.76,9376.23,31.14,135.44,,29.22,,
2002-12-01,936.31,9563.74,27.50,127.52,,26.70,,
2003-01-01,879.82,9277.22,28.62,123.89,,30.37,,
2003-02-01,855.70,8798.35,31.17,110.89,,32.00,,
2003-03-01,841.15,8402.09,29.63,105.36,,29.07,,
2003-04-01,848.18,7679.88,29.15,112.09,,27.85,,
2003-05-01,916.92,7510.40,21.21,89.27,,21.63,,
2003-06-01,963.59,8564.33,19.47,99.81,,20.76,,
2003-07-01,974.50,8352.20,19.52,103.60,,20.77,,
2003-08-01,990.31,8809.63,19.49,160.86,,20.03,,
2003-09-01,1008.01,9226.20,18.63,126.55,,20.53,,
2003-10-01,995.97,8925.69,22.72,116.69,,23.42,,
2003-11-01,1050.71,9765.30,16.10,118.76,,16.88,,
2003-12-01,1058.20,9729.60,16.32,104.91,,17.50,,
2004-01-01,1111.92,10387.22,18.31,117.91,,18.25,,
2004-02-01,1131.13,10849.25,16.63,116.75,,18.23,,
2004-03-01,1144.94,10895.86,14.55,90.14,,16.64,,
2004-04-01,1126.21,10692.56,16.74,105.92,,17.98,,
2004-05-01,1107.31,10385.80,17.19,122.93,,18.71,,
2004-06-01,1120.68,10413.81,15.50,106.12,,17.08,,
2004-07-01,1140.84,10108.61,14.34,93.91,,16.42,,
2004-08-01,1101.72,10305.89,15.32,97.21,,17.46,,
2004-09-01,1104.24,11160.44,15.29,102.66,,16.87,,
2004-10-01,1114.58,11761.00,13.34,92.89,,15.32,,
2004-11-01,1130.20,11655.31,16.27,96.45,,16.05,,
2004-12-01,1173.82,12490.79,13.24,89.56,,14.27,,
2005-01-01,1211.92,12656.86,13.29,86.60,,14.56,,
2005-02-01,1181.27,12798.55,12.82,79.29,,13.36,,
2005-03-01,1203.60,13476.59,12.08,90.05,,12.62,,
2005-04-01,1180.59,13298.58,14.02,87.70,,14.62,,
2005-05-01,1156.85,12555.96,15.31,82.53,,15.71,,
