Date,actual,prediction,probability
2022-04-11,0.0,0,0.08093075729042858
2022-04-18,0.0,1,0.5537848542245019
2022-04-25,1.0,0,0.16614128422991267
2022-05-02,0.0,0,0.25886165500436975
2022-05-09,0.0,0,0.3056907110459822
2022-05-16,1.0,0,0.3098261367992379
2022-05-23,1.0,0,0.3732595009509111
2022-05-30,1.0,1,0.6032114504695016
2022-06-06,1.0,1,0.5342582961628217
2022-06-13,0.0,1,0.6004424511881192
2022-06-20,0.0,1,0.868062035979413
2022-06-27,1.0,1,0.5015255066534212
2022-07-04,1.0,0,0.4258996268661636
2022-07-11,0.0,1,0.6065365211742606
2022-07-18,0.0,1,0.6313171617320484
2022-07-25,1.0,1,0.6130710299605008
2022-08-01,1.0,1,0.8381037065983805
2022-08-08,0.0,1,0.832293997867918
2022-08-15,0.0,1,0.7315028764722425
2022-08-22,0.0,1,0.9156105500368638
2022-08-29,0.0,1,0.8937212461694405
2022-09-05,0.0,1,0.7798701552390177
2022-09-12,0.0,0,0.43460809011976015
2022-09-19,0.0,0,0.2743012313702157
2022-09-26,0.0,0,0.4469724209585369
2022-10-03,0.0,1,0.6107201980544209
2022-10-10,0.0,1,0.6734041833064359
2022-10-17,0.0,0,0.2078549931583752
2022-10-24,0.0,0,0.31147916434264833
2022-10-31,1.0,1,0.5077990693503571
2022-11-07,1.0,1,0.660928287624108
2022-11-14,1.0,1,0.760380400586786
2022-11-21,1.0,1,0.8623198359166923
2022-11-28,0.0,1,0.8772539796783916
2022-12-05,0.0,1,0.8924952061765896
2022-12-12,0.0,1,0.8931676350107404
2022-12-19,1.0,1,0.501028568437706
2022-12-26,1.0,1,0.5862233714343167
2023-01-02,1.0,0,0.4784138305444226
2023-01-09,1.0,1,0.6471137848376397
2023-01-16,0.0,1,0.8741243293402361
2023-01-23,1.0,1,0.72625140978629
2023-01-30,1.0,0,0.3676320730271451
2023-02-06,1.0,1,0.7743080090491209
2023-02-13,1.0,1,0.8161693028663413
2023-02-20,1.0,1,0.7726738290049477
2023-02-27,1.0,1,0.791851202125113
2023-03-06,1.0,1,0.8901191872681878
2023-03-13,1.0,1,0.8700841550071333
2023-03-20,1.0,1,0.9054286364879366
2023-03-27,1.0,1,0.8868292154783552
2023-04-03,0.0,1,0.9259923390018862
2023-04-10,1.0,1,0.7224891313388199
2023-04-17,1.0,1,0.8056485376143914
2023-04-24,1.0,1,0.8965327342731838
2023-05-01,1.0,1,0.9085225804282764
2023-05-08,1.0,1,0.8900008088880215
2023-05-15,1.0,1,0.9333557455636308
2023-05-22,0.0,1,0.9354407373806966
2023-05-29,0.0,1,0.9147330191632633
2023-06-05,1.0,1,0.8618040004151828
2023-06-12,1.0,1,0.6127953447557829
2023-06-19,0.0,1,0.7135796755754157
2023-06-26,0.0,1,0.6625676311778103
2023-07-03,1.0,1,0.6885070644635026
2023-07-10,1.0,1,0.8108780273559163
2023-07-17,1.0,1,0.5446303349713348
2023-07-24,1.0,1,0.6208883935338767
2023-07-31,1.0,1,0.6892214725380567
2023-08-07,0.0,1,0.6066749950107463
2023-08-14,0.0,0,0.4460864425418777
2023-08-21,1.0,0,0.45317809195815256
2023-08-28,0.0,0,0.47112781436770623
2023-09-04,1.0,0,0.4802385904595121
2023-09-11,1.0,0,0.47036544436630134
2023-09-18,1.0,1,0.5611981268119514
2023-09-25,1.0,1,0.6882641248975812
2023-10-02,1.0,1,0.6128434032801595
2023-10-09,1.0,1,0.8834209065141949
2023-10-16,1.0,1,0.8545807745297255
2023-10-23,1.0,1,0.8280597126402831
2023-10-30,0.0,1,0.8453033291504363
2023-11-06,0.0,1,0.7066340056508361
2023-11-13,0.0,1,0.5997755682265689
2023-11-20,0.0,1,0.5509467512869877
2023-11-27,0.0,1,0.662619515518584
2023-12-04,0.0,1,0.6664365280986237
2023-12-11,1.0,1,0.6090580699227841
2023-12-18,1.0,1,0.6275046914735121
2023-12-25,1.0,1,0.7423841736994629
2024-01-01,1.0,1,0.70683543393741
2024-01-08,1.0,1,0.7493608796293583
2024-01-15,1.0,1,0.8398654771185873
2024-01-22,1.0,1,0.9063036286334634
2024-01-29,1.0,1,0.827722146725645
2024-02-05,1.0,1,0.8752941380702611
2024-02-12,1.0,1,0.7289261693898935
2024-02-19,1.0,1,0.7606095987777577
2024-02-26,0.0,1,0.7298916451746408
2024-03-04,0.0,1,0.6133133746911863
2024-03-11,1.0,1,0.6708585748636533
2024-03-18,1.0,1,0.7795829011214789
2024-03-25,1.0,1,0.7632343608847938
2024-04-01,1.0,1,0.7539581258921723
2024-04-08,1.0,1,0.6862741944869406
2024-04-15,0.0,1,0.6237031122020138
2024-04-22,0.0,1,0.5862658904332844
2024-04-29,0.0,1,0.5794260954863929
2024-05-06,0.0,1,0.5205089943543347
2024-05-13,1.0,0,0.43575997788796084
2024-05-20,1.0,1,0.6430996382291702
2024-05-27,0.0,1,0.6295178391874307
2024-06-03,0.0,1,0.5255886279799754
2024-06-10,0.0,0,0.46714944415550286
2024-06-17,0.0,1,0.5600346159506867
2024-06-24,0.0,0,0.38844931755935286
2024-07-01,0.0,0,0.4186733917088647
2024-07-08,0.0,0,0.48525676158273634
2024-07-15,0.0,0,0.39666326803098073
2024-07-22,0.0,0,0.45100106981064514
2024-07-29,0.0,0,0.3892157001639715
2024-08-05,0.0,0,0.34231349816581763
2024-08-12,0.0,0,0.28312967781259446
2024-08-19,0.0,0,0.36797746035249984
2024-08-26,1.0,0,0.3643117279362013
2024-09-02,1.0,0,0.39345889100785236
2024-09-09,1.0,0,0.4086282960867633
2024-09-16,1.0,0,0.3748994303967591
2024-09-23,1.0,0,0.4723015169479144
2024-09-30,1.0,0,0.4695344603967295
2024-10-07,1.0,0,0.4527808173074726
2024-10-14,1.0,1,0.568860947560313
2024-10-21,1.0,1,0.5846893517626517
2024-10-28,1.0,1,0.5476461545469938
2024-11-04,1.0,1,0.5728202767194652
2024-11-11,0.0,1,0.547021102159627
2024-11-18,0.0,1,0.5548876586082513
2024-11-25,0.0,0,0.47501012024393985
2024-12-02,0.0,0,0.41914379823718445
2024-12-09,0.0,1,0.5631301259846136
2024-12-16,0.0,1,0.5794016518943352
2024-12-23,0.0,0,0.4857536529174842
2024-12-30,1.0,1,0.5919187185413862
2025-01-06,1.0,0,0.4928357319640481
2025-01-13,1.0,1,0.5080052479818861
2025-01-20,1.0,0,0.4680262483518618
2025-01-27,1.0,1,0.504087567449547
2025-02-03,1.0,1,0.5512862481459904
2025-02-10,1.0,1,0.661001327882107
2025-02-17,1.0,1,0.6808706712017967
