Date,actual,prediction,probability
2021-01-11,0,0,0.041959889233112335
2021-01-18,1,0,0.22959862649440765
2021-01-25,1,1,0.6415871381759644
2021-02-01,1,1,0.8537717461585999
2021-02-08,1,1,0.8631780743598938
2021-02-15,1,0,0.16796615719795227
2021-02-22,1,1,0.630771815776825
2021-03-01,0,1,0.6540548205375671
2021-03-08,0,0,0.30271437764167786
2021-03-15,0,0,0.09145486354827881
2021-03-22,0,0,0.034949954599142075
2021-03-29,0,0,0.19352629780769348
2021-04-05,0,0,0.11035336554050446
2021-04-12,0,0,0.05402422696352005
2021-04-19,0,0,0.08009526133537292
2021-04-26,0,1,0.7827019095420837
2021-05-03,0,0,0.21059802174568176
2021-05-10,0,0,0.06349337846040726
2021-05-17,0,0,0.20586121082305908
2021-05-24,0,0,0.22929327189922333
2021-05-31,1,0,0.07813451439142227
2021-06-07,1,0,0.1003536731004715
2021-06-14,1,0,0.4538135826587677
2021-06-21,1,1,0.8804831504821777
2021-06-28,1,1,0.7466350197792053
2021-07-05,1,1,0.9020492434501648
2021-07-12,1,1,0.9041646122932434
2021-07-19,1,1,0.937560498714447
2021-07-26,1,1,0.9636530876159668
2021-08-02,0,1,0.9542292952537537
2021-08-09,0,1,0.6229959726333618
2021-08-16,0,0,0.28746965527534485
2021-08-23,0,0,0.11110635101795197
2021-08-30,0,0,0.18884159624576569
2021-09-06,0,0,0.15715943276882172
2021-09-13,0,0,0.05610588937997818
2021-09-20,0,0,0.07547470182180405
2021-09-27,0,0,0.036862608045339584
2021-10-04,0,0,0.10674747824668884
2021-10-11,0,0,0.06170156970620155
2021-10-18,0,0,0.1628454625606537
2021-10-25,0,0,0.0811438262462616
2021-11-01,0,0,0.07823387533426285
2021-11-08,1,0,0.1158846989274025
2021-11-15,0,0,0.26453500986099243
2021-11-22,0,0,0.08557963371276855
2021-11-29,1,0,0.05594738572835922
2021-12-06,1,1,0.5256969332695007
2021-12-13,0,1,0.6212736964225769
2021-12-20,0,0,0.2890737056732178
2021-12-27,0,1,0.5436334609985352
2022-01-03,0,0,0.10585539042949677
2022-01-10,1,0,0.010538678616285324
2022-01-17,1,1,0.6779247522354126
2022-01-24,1,0,0.4873102903366089
2022-01-31,1,0,0.49107426404953003
2022-02-07,1,1,0.9975195527076721
2022-02-14,1,1,0.961725115776062
2022-02-21,0,1,0.9714806079864502
2022-02-28,0,1,0.8853470087051392
2022-03-07,0,0,0.10640516877174377
2022-03-14,0,0,0.00919276475906372
2022-03-21,0,1,0.6308454871177673
2022-03-28,0,0,0.054701995104551315
2022-04-04,0,0,0.004649934358894825
2022-04-11,0,0,0.07025223970413208
2022-04-18,0,0,0.14098003506660461
2022-04-25,0,0,0.028354132547974586
2022-05-02,1,0,0.010432633571326733
2022-05-09,1,0,0.09676364064216614
2022-05-16,1,1,0.72226881980896
2022-05-23,1,1,0.7504726648330688
2022-05-30,1,1,0.9156134724617004
2022-06-06,1,1,0.9123527407646179
2022-06-13,1,1,0.9536979794502258
2022-06-20,0,1,0.9647015929222107
2022-06-27,1,1,0.6114657521247864
2022-07-04,1,1,0.913473904132843
2022-07-11,0,1,0.9651910066604614
2022-07-18,1,0,0.3066027760505676
2022-07-25,1,1,0.9833459854125977
2022-08-01,0,1,0.6741554141044617
2022-08-08,0,0,0.09675733000040054
2022-08-15,0,0,0.06431607902050018
2022-08-22,0,0,0.0029905603732913733
2022-08-29,0,0,0.0006137578748166561
2022-09-05,0,0,0.0015468834899365902
2022-09-12,0,0,0.0008681844337843359
2022-09-19,0,0,0.00030873960349708796
2022-09-26,0,0,0.010628039948642254
2022-10-03,0,0,0.0020347540266811848
2022-10-10,0,0,0.0011979874689131975
2022-10-17,0,0,0.0038975412026047707
2022-10-24,1,0,0.007945481687784195
2022-10-31,1,1,0.6783561706542969
2022-11-07,1,1,0.7743822932243347
2022-11-14,1,1,0.9814731478691101
2022-11-21,1,1,0.8380962014198303
2022-11-28,0,1,0.9164342284202576
2022-12-05,0,1,0.833932101726532
2022-12-12,0,0,0.2627100646495819
2022-12-19,1,0,0.027258940041065216
2022-12-26,1,1,0.9604952335357666
2023-01-02,1,0,0.48072758316993713
2023-01-09,1,1,0.9899641871452332
2023-01-16,1,1,0.9928386807441711
2023-01-23,1,1,0.9991681575775146
2023-01-30,1,1,0.9851123690605164
2023-02-06,1,1,0.9978457689285278
2023-02-13,1,1,0.9996300935745239
2023-02-20,1,1,0.9993230104446411
2023-02-27,1,1,0.8171697854995728
2023-03-06,1,1,0.9455743432044983
2023-03-13,1,1,0.919802725315094
2023-03-20,1,1,0.990416407585144
2023-03-27,1,1,0.9974019527435303
2023-04-03,1,1,0.993533730506897
2023-04-10,1,1,0.9923018217086792
2023-04-17,1,1,0.9966590404510498
2023-04-24,1,1,0.9974327683448792
2023-05-01,1,1,0.9994257688522339
2023-05-08,0,1,0.9997833371162415
2023-05-15,0,0,0.4713793098926544
2023-05-22,0,0,0.03357512876391411
2023-05-29,1,0,0.15396876633167267
2023-06-05,1,1,0.6177161931991577
2023-06-12,1,1,0.5171663761138916
2023-06-19,0,1,0.9959644079208374
2023-06-26,0,1,0.8964980840682983
2023-07-03,1,1,0.9965423941612244
2023-07-10,1,1,0.9996938705444336
2023-07-17,1,1,0.8019192814826965
2023-07-24,1,1,0.9484737515449524
2023-07-31,1,1,0.9915586709976196
2023-08-07,0,0,0.49554526805877686
2023-08-14,0,0,0.12270833551883698
2023-08-21,0,0,0.007916397415101528
2023-08-28,0,0,0.006481618154793978
2023-09-04,1,0,0.014384937472641468
2023-09-11,1,1,0.775530993938446
2023-09-18,1,1,0.9289162755012512
2023-09-25,1,1,0.9307051301002502
2023-10-02,1,1,0.917472779750824
2023-10-09,1,1,0.8682694435119629
2023-10-16,1,1,0.9996293783187866
2023-10-23,1,1,0.9949230551719666
2023-10-30,0,1,0.9802823066711426
2023-11-06,0,1,0.5947837829589844
2023-11-13,0,1,0.9089266061782837
2023-11-20,0,0,0.056180745363235474
2023-11-27,0,1,0.7761183381080627
2023-12-04,0,1,0.7132932543754578
2023-12-11,1,0,0.07290635257959366
2023-12-18,1,0,0.1422928273677826
2023-12-25,1,1,0.541526198387146
2024-01-01,1,1,0.9685588479042053
