Date,Value,Benchmarks,Value_Cumulative_Relative,trend_t1,trend_tval,trend_bin
2004-01-01,0.0316,0.037827789,-0.006227788999999984,2004-03-01,33.28079602225896,1.0
2004-02-01,0.0102,-0.001955636,0.005852144263831072,2004-06-01,6.543006260258541,1.0
2004-03-01,0.0139,0.00307856,0.016736912891853528,2005-01-01,4.942237498630168,1.0
2004-04-01,0.0068,-0.017248493,0.04118790342437495,2005-02-01,4.811672950033062,1.0
2004-05-01,0.0034,0.005029323,0.03949147202600378,2005-02-01,4.239095195407162,1.0
2004-06-01,0.0067,-0.014684257,0.06172022481311612,2005-02-01,3.384770118988175,1.0
2004-07-01,0.0097,0.014894445,0.05620517749993681,2005-02-01,4.1416881963211205,1.0
2004-08-01,0.0589,0.079879626,0.03404638789672454,2005-02-01,4.695122071485386,1.0
2004-09-01,0.0755,0.062973913,0.046998942913554664,2005-02-01,3.149085273606063,1.0
2004-10-01,0.0547,0.020367847,0.08294467081250123,2005-08-01,-3.249350258704226,0.0
2004-11-01,0.0763,0.085300347,0.07319779299338802,2005-02-01,7.347233703794103,1.0
2004-12-01,0.036,0.025662177,0.08429232182134427,2005-10-01,-5.460554891580955,0.0
2005-01-01,0.0109,0.007555399,0.08791884700520036,2005-11-01,-6.176615736247798,0.0
2005-02-01,0.0526,0.045355874,0.09579986821068087,2005-12-01,-5.81371048670806,0.0
2005-03-01,-0.0373,-0.018279567,0.07495728023597081,2006-01-01,-5.67890086649087,0.0
2005-04-01,-0.0367,-0.035156225,0.07329778806067444,2006-01-01,-4.4237229194467735,0.0
2005-05-01,0.0507,0.079159771,0.04275197879766113,2005-07-01,22.44799246570274,1.0
2005-06-01,0.0399,0.03187868,0.05111622610023048,2006-01-01,-5.7995996451890885,0.0
2005-07-01,0.088,0.078711865,0.060879135508939974,2005-09-01,-24.73660221345916,0.0
2005-08-01,0.0135,0.02139373,0.05250484205059891,2005-10-01,-14.381739461972433,0.0
2005-09-01,0.0823,0.08921522,0.045226539516753705,2005-11-01,-6.193548755819599,0.0
2005-10-01,-0.034,-0.028533595,0.039512907935006725,2006-08-01,-3.286197653374617,0.0
2005-11-01,0.0183,0.028064135,0.02936296356768686,2006-09-01,-3.8821284548384685,0.0
2005-12-01,0.0896,0.088098664,0.03090838324195766,2006-09-01,-4.214066638860475,0.0
2006-01-01,0.0883,0.090673183,0.028461848992290317,2006-09-01,-4.632685005146236,0.0
2006-02-01,0.0025,-0.023144911,0.05483666157659317,2006-09-01,-5.967466607333509,0.0
2006-03-01,0.0644,0.069389761,0.04957327874128814,2006-06-01,-6.211936369225927,0.0
2006-04-01,0.0152,0.026443688,0.03777220426198413,2006-06-01,-9.883706181498544,0.0
2006-05-01,-0.07,-0.044586454,0.011398732611450857,2007-02-01,1.8574568817335582,1.0
2006-06-01,-0.0219,0.01525751,-0.0261823259095465,2007-02-01,5.636391391921198,1.0
2006-07-01,0.0028,-0.008565387,-0.015114511176068768,2006-09-01,-34.978050247499695,0.0
2006-08-01,0.0467,0.051212343,-0.01955865231736509,2007-02-01,4.909988492826828,1.0
2006-09-01,0.0168,0.020905065,-0.023583427778289923,2007-02-01,3.884759271532368,1.0
2006-10-01,0.0804,0.054007063,0.0021870732981135177,2007-02-01,2.296597007718919,1.0
2006-11-01,0.0251,0.03698954,-0.009728469997347333,2007-01-01,39.42513254066134,1.0
2006-12-01,0.0687,0.055655238,0.0031893864269132433,2007-02-01,2.7255046675431225,1.0
2007-01-01,0.0434,0.031607021,0.015019977794068717,2007-11-01,-3.4356696407891745,0.0
2007-02-01,0.016,0.013402337,0.01765665763464508,2007-12-01,-4.285374753195569,0.0
2007-03-01,0.0425,0.058969674,0.000896184239472797,2008-01-01,-4.539681175696278,0.0
2007-04-01,0.0653,0.046601518,0.019611423524343197,2008-02-01,-6.661355892865869,0.0
2007-05-01,-0.0124,-0.001875257,0.00888027533188529,2007-07-01,-17.83109354673274,0.0
2007-06-01,-0.0196,-0.017672582,0.006935741329365808,2008-04-01,-10.357444448457345,0.0
2007-07-01,0.0023,0.004646672,0.004572793419388876,2008-05-01,-12.968767313757871,0.0
2007-08-01,0.018,0.008106132,0.014511904033871703,2008-06-01,-17.59889229060884,0.0
2007-09-01,0.0028,0.030137372,-0.013222185285130528,2008-06-01,-14.500990718249355,0.0
2007-10-01,0.0714,0.068083268,-0.00994930773017566,2008-06-01,-13.93326941354268,0.0
2007-11-01,-0.066,-0.033138791,-0.04248357044944906,2008-06-01,-10.714056154308835,0.0
2007-12-01,-0.0286,-0.03544216,-0.03593208983583551,2008-06-01,-9.248093167416881,0.0
2008-01-01,-0.1151,-0.070071666,-0.07934246169338943,2008-06-01,-7.561070412939458,0.0
2008-02-01,0.089,0.109366053,-0.09809262191339141,2008-04-01,-42.07676841220678,0.0
2008-03-01,-0.0424,-0.034053388,-0.10562049285821762,2009-01-01,4.95862442048085,1.0
2008-04-01,0.0301,0.039239558,-0.11379472623775133,2009-01-01,5.860120987712992,1.0
2008-05-01,-0.0191,0.028075951,-0.1556023028087008,2008-12-01,8.189439101841488,1.0
2008-06-01,-0.0772,-0.065580279,-0.1654139684631062,2008-12-01,6.1721049615665535,1.0
2008-07-01,0.0305,-0.050487925,-0.0978225775349485,2008-09-01,11.626254412988839,1.0
2008-08-01,0.0382,0.012569972,-0.07469974493620146,2008-12-01,6.033033243966464,1.0
2008-09-01,-0.0712,-0.104938741,-0.04348127928336998,2008-12-01,5.207028832991906,1.0
2008-10-01,-0.1055,-0.119188036,-0.030388416599526735,2009-08-01,3.39121957281765,1.0
2008-11-01,0.0124,0.008668369,-0.026770183956950522,2009-09-01,4.162673543743322,1.0
2008-12-01,0.051,0.029790774,-0.006128732838554973,2009-02-01,-5.762471824016108,0.0
2009-01-01,-0.06,-0.047233168,-0.01881732033603223,2009-10-01,7.232825292293138,1.0
2009-02-01,-0.1187,-0.094653218,-0.04241160633608754,2009-09-01,14.111129198069676,1.0
2009-03-01,0.1089,0.106042079,-0.039674894356479196,2009-09-01,11.14367408533909,1.0
2009-04-01,0.0547,0.023708955,-0.009913415792851099,2009-09-01,8.876519131209896,1.0
2009-05-01,0.0879,0.086380353,-0.008408833685420336,2009-09-01,9.129153264973624,1.0
2009-06-01,0.0045,-0.013360723,0.009301701465371348,2009-09-01,5.17724436054963,1.0
2009-07-01,0.096,0.089891044,0.015467481150348572,2009-09-01,2.891735704408134,1.0
2009-08-01,0.0654,0.040906082,0.04034025836531163,2009-12-01,-2.4163400396471215,0.0
2009-09-01,0.0099,0.003903593,0.04657856197295529,2009-12-01,-3.0010325981324915,0.0
2009-10-01,0.0396,0.044400815,0.04155413191395718,2010-08-01,3.805111702909547,1.0
2009-11-01,-0.0157,0.00455187,0.0204607130364729,2010-08-01,8.613842843907067,1.0
2009-12-01,0.0411,0.038575102,0.023037272249897045,2010-02-01,6.853726259302959,1.0
2010-01-01,-0.0195,-0.026193841,0.029885321087411487,2010-08-01,5.218793527376623,1.0
2010-02-01,0.0212,0.01005332,0.041365123198270126,2010-08-01,3.675094732857919,1.0
2010-03-01,0.0673,0.06915313,0.03943533824751766,2010-08-01,4.593791225653451,1.0
2010-04-01,0.0063,0.005787804,0.03996773287002675,2010-08-01,4.322750720118369,1.0
