Date,actual,prediction,probability
2022-04-11,0,0,0.0028859686572104692
2022-04-18,0,0,0.47492098808288574
2022-04-25,0,1,0.5887465476989746
2022-05-02,0,1,0.9986006617546082
2022-05-09,0,0,0.3078112006187439
2022-05-16,0,0,0.05832706019282341
2022-05-23,0,0,0.015666112303733826
2022-05-30,0,1,0.5005381107330322
2022-06-06,0,0,0.004342868458479643
2022-06-13,1,0,0.02616821601986885
2022-06-20,1,1,0.8405722975730896
2022-06-27,1,1,0.8741892576217651
2022-07-04,1,1,0.9919242262840271
2022-07-11,1,1,0.9989966750144958
2022-07-18,1,1,0.9748362302780151
2022-07-25,1,1,0.9916509985923767
2022-08-01,1,1,0.9910178184509277
2022-08-08,1,1,0.9852269887924194
2022-08-15,0,1,0.9947273135185242
2022-08-22,0,1,0.6014321446418762
2022-08-29,0,1,0.9580044746398926
2022-09-05,0,0,0.0025259675458073616
2022-09-12,0,0,0.0035530272871255875
2022-09-19,1,0,0.0004249093180987984
2022-09-26,1,1,0.911437451839447
2022-10-03,1,0,0.07179459184408188
2022-10-10,1,1,0.9951209425926208
2022-10-17,1,0,0.32592546939849854
2022-10-24,1,0,0.34690698981285095
2022-10-31,0,0,0.4980199337005615
2022-11-07,0,0,0.31502583622932434
2022-11-14,0,0,0.1472194790840149
2022-11-21,0,0,0.11749718338251114
2022-11-28,0,0,0.24623078107833862
2022-12-05,1,0,0.002097469288855791
2022-12-12,1,1,0.9684010744094849
2022-12-19,1,1,0.9553107023239136
2022-12-26,1,1,0.9718956351280212
2023-01-02,1,1,0.9603307247161865
2023-01-09,1,1,0.891714334487915
2023-01-16,0,1,0.9886723160743713
2023-01-23,1,1,0.6418257355690002
2023-01-30,0,0,0.2031800001859665
2023-02-06,0,0,0.07961445301771164
2023-02-13,0,0,0.18963952362537384
2023-02-20,0,0,0.024760877713561058
2023-02-27,0,0,0.011430957354605198
2023-03-06,1,0,0.4878542423248291
2023-03-13,1,1,0.9822691679000854
2023-03-20,1,1,0.9942817687988281
2023-03-27,1,1,0.9969336986541748
2023-04-03,1,1,0.9791978597640991
2023-04-10,0,1,0.9983575940132141
2023-04-17,0,1,0.746849000453949
2023-04-24,0,0,0.22077758610248566
2023-05-01,0,0,0.4373522102832794
2023-05-08,0,0,0.49517348408699036
2023-05-15,0,0,0.28471940755844116
2023-05-22,1,0,0.22393351793289185
2023-05-29,1,1,0.9495604634284973
2023-06-05,1,1,0.9901354908943176
2023-06-12,1,0,0.42610639333724976
2023-06-19,1,1,0.9971488118171692
2023-06-26,1,1,0.9084831476211548
2023-07-03,1,1,0.9813792705535889
2023-07-10,1,0,0.4837819039821625
2023-07-17,1,1,0.9808127284049988
