Date,LocalEquityVol3,LocalEquityVol6,LocalEquityVol12,GlobalEquityVol3,GlobalEquityVol6,GlobalEquityVol12,VolTermStructPC1,VolTermStructPC2,VolSpread1M,VolSpread6M,VixSaviSpread,VixMoveSpread
1998-10-01,,,,,,,,,,,,-83.27
1998-11-01,,,,,,,,,,,,-93.01
1998-12-01,,,,,,,,,,,,-61.21
1999-01-01,0.33,,,0.04,,,,,,,,-96.71
1999-02-01,0.22,,,0.03,,,,,,,,-60.91
1999-03-01,0.19,,,0.16,,,,,,,,-73.56
1999-04-01,0.10,0.23,,0.14,0.13,,,,,,,-61.91
1999-05-01,0.15,0.21,,0.14,0.11,,,,,,,-59.78
1999-06-01,0.36,0.26,,0.13,0.13,,,,,,,-79.39
1999-07-01,0.37,0.25,,0.14,0.13,,,,,,,-80.96
1999-08-01,0.30,0.24,,0.16,0.14,,,,,,,-82.33
1999-09-01,0.20,0.26,,0.15,0.13,,,,,,,-84.65
1999-10-01,0.06,0.25,0.23,0.05,0.13,0.14,,,,,,-79.18
1999-11-01,0.13,0.21,0.21,0.16,0.15,0.14,,,,,,-71.94
1999-12-01,0.13,0.15,0.20,0.16,0.14,0.13,,,,,,-58.46
2000-01-01,0.14,0.19,0.21,0.08,0.14,0.13,,,,,,-74.25
2000-02-01,0.24,0.20,0.21,0.19,0.16,0.14,,,,,,-81.31
2000-03-01,0.33,0.23,0.23,0.19,0.16,0.14,,,,,,-83.27
2000-04-01,0.12,0.23,0.23,0.26,0.19,0.16,,,,,,-82.34
2000-05-01,0.14,0.26,0.22,0.24,0.19,0.16,,,,,,-77.63
2000-06-01,0.13,0.24,0.20,0.24,0.20,0.16,,,,,,-79.45
2000-07-01,0.21,0.16,0.19,0.10,0.18,0.16,,,,,,-77.08
2000-08-01,0.11,0.16,0.19,0.09,0.16,0.15,,,,,,-66.30
2000-09-01,0.15,0.19,0.20,0.13,0.17,0.16,,,,,,-62.70
2000-10-01,0.21,0.20,0.21,0.20,0.14,0.17,,,,,,-62.24
2000-11-01,0.23,0.16,0.21,0.20,0.14,0.16,,,,,,-63.49
2000-12-01,0.05,0.18,0.20,0.14,0.18,0.18,,,,,,-62.28
2001-01-01,0.18,0.18,0.17,0.17,0.17,0.17,,,,,,-78.06
2001-02-01,0.24,0.21,0.19,0.21,0.19,0.17,,,,,,-81.00
2001-03-01,0.16,0.18,0.18,0.24,0.18,0.19,,,,,,-82.42
2001-04-01,0.33,0.23,0.21,0.24,0.19,0.17,,,,,,-82.91
2001-05-01,0.33,0.27,0.21,0.32,0.24,0.19,,,,,,-83.24
2001-06-01,0.34,0.25,0.21,0.24,0.22,0.19,,,,,,-82.85
2001-07-01,0.20,0.25,0.21,0.18,0.22,0.19,,,,,,-77.54
2001-08-01,0.20,0.25,0.23,0.05,0.21,0.19,,,,,,-69.53
2001-09-01,0.21,0.26,0.21,0.10,0.18,0.18,,,,,,-69.36
2001-10-01,0.28,0.27,0.24,0.13,0.20,0.18,,,,,,-84.03
2001-11-01,0.32,0.24,0.25,0.19,0.14,0.19,,,,,,-83.96
2001-12-01,0.38,0.28,0.26,0.28,0.20,0.20,,,,,,-115.08
2002-01-01,0.09,0.31,0.27,0.12,0.20,0.20,,,,,,-113.56
2002-02-01,0.23,0.28,0.26,0.16,0.20,0.19,,,-0.25,,,-93.96
2002-03-01,0.20,0.28,0.26,0.05,0.18,0.17,,,0.16,,,-83.63
2002-04-01,0.11,0.16,0.23,0.11,0.12,0.17,,,0.93,,,-102.12
2002-05-01,0.09,0.18,0.22,0.17,0.16,0.16,,,-1.08,,,-79.54
2002-06-01,0.03,0.15,0.22,0.17,0.11,0.15,,,0.84,,,-84.53
2002-07-01,0.12,0.11,0.23,0.12,0.14,0.17,,,-1.77,,,-94.20
2002-08-01,0.28,0.24,0.26,0.14,0.16,0.18,,,-2.91,,,-100.26
2002-09-01,0.33,0.24,0.26,0.17,0.17,0.17,,,-0.14,,,-104.99
2002-10-01,0.33,0.23,0.24,0.22,0.16,0.19,,,-1.48,,,-105.98
2002-11-01,0.13,0.23,0.23,0.35,0.25,0.21,,,-1.92,,,-104.30
2002-12-01,0.07,0.23,0.21,0.37,0.28,0.21,,,-0.80,,,-100.02
2003-01-01,0.09,0.23,0.18,0.27,0.28,0.21,,,1.75,,,-95.27
2003-02-01,0.13,0.12,0.18,0.21,0.26,0.21,,,0.83,,,-79.72
2003-03-01,0.04,0.09,0.17,0.08,0.26,0.21,,,-0.56,,,-75.73
2003-04-01,0.08,0.13,0.18,0.06,0.19,0.20,,,-1.30,,,-82.94
2003-05-01,0.12,0.13,0.18,0.17,0.18,0.22,,,0.42,,,-68.06
2003-06-01,0.39,0.27,0.24,0.12,0.18,0.23,,,1.29,,,-80.34
2003-07-01,0.31,0.27,0.24,0.12,0.14,0.22,,,1.25,,,-84.08
2003-08-01,0.27,0.27,0.20,0.07,0.12,0.20,,,0.54,,,-141.37
2003-09-01,0.15,0.27,0.20,0.01,0.10,0.20,,,1.90,,,-107.92
2003-10-01,0.17,0.22,0.21,0.06,0.11,0.15,,,0.70,,,-93.97
2003-11-01,0.22,0.22,0.23,0.11,0.09,0.14,,,0.78,,,-102.66
2003-12-01,0.22,0.17,0.23,0.12,0.07,0.13,,,1.18,,,-88.59
2004-01-01,0.17,0.16,0.23,0.09,0.09,0.11,,,-0.06,,,-99.60
2004-02-01,0.12,0.16,0.22,0.08,0.09,0.10,,,1.60,,,-100.12
2004-03-01,0.11,0.16,0.21,0.07,0.09,0.09,,,2.09,,,-75.59
2004-04-01,0.11,0.15,0.18,0.06,0.09,0.10,,,1.24,,,-89.18
2004-05-01,0.06,0.13,0.18,0.06,0.09,0.09,,,1.52,,,-105.74
2004-06-01,0.06,0.13,0.14,0.06,0.09,0.08,,,1.58,,,-90.62
2004-07-01,0.06,0.10,0.15,0.06,0.06,0.08,,,2.08,,,-79.57
2004-08-01,0.09,0.07,0.14,0.10,0.07,0.09,,,2.14,,,-81.89
2004-09-01,0.19,0.14,0.15,0.09,0.07,0.09,,,1.58,,,-87.37
2004-10-01,0.10,0.15,0.15,0.08,0.07,0.09,,,1.98,,,-79.55
2004-11-01,0.16,0.14,0.13,0.02,0.07,0.07,,,-0.22,,,-80.18
2004-12-01,0.14,0.15,0.14,0.05,0.08,0.08,,,1.03,,,-76.32
2005-01-01,0.14,0.12,0.13,0.04,0.09,0.07,,,1.27,,,-73.31
