Date,actual,prediction,probability
2021-02-08,1.0,1,0.9900913
2021-02-15,1.0,1,0.9999815
2021-02-22,1.0,1,0.9999999
2021-03-01,0.0,1,0.9999999
2021-03-08,0.0,1,0.9998568
2021-03-15,1.0,1,0.9409851
2021-03-22,0.0,1,0.9954762
2021-03-29,1.0,0,0.11054615
2021-04-05,1.0,1,1.0
2021-04-12,1.0,1,0.9924051
2021-04-19,1.0,1,0.8040453
2021-04-26,1.0,1,0.8744841
2021-05-03,1.0,0,0.26834413
2021-05-10,1.0,1,0.99999356
2021-05-17,0.0,0,0.28956792
2021-05-24,0.0,1,0.99999464
2021-05-31,0.0,1,0.774459
2021-06-07,0.0,0,0.0130062755
2021-06-14,0.0,1,0.99974436
2021-06-21,0.0,0,0.00017751529
2021-06-28,1.0,0,0.005046441
2021-07-05,1.0,1,0.9991523
2021-07-12,1.0,0,0.15677036
2021-07-19,1.0,1,0.9870821
2021-07-26,1.0,0,0.05132405
2021-08-02,0.0,1,0.99817276
2021-08-09,0.0,1,0.9481022
2021-08-16,1.0,0,0.18216914
2021-08-23,0.0,0,0.007927096
2021-08-30,1.0,0,0.00037771082
2021-09-06,1.0,1,0.66535866
2021-09-13,1.0,1,0.9987219
2021-09-20,1.0,0,0.23456265
2021-09-27,1.0,1,0.9922956
2021-10-04,0.0,1,0.986273
2021-10-11,0.0,0,0.04956653
2021-10-18,0.0,1,0.9998958
2021-10-25,0.0,0,0.021211388
2021-11-01,0.0,0,0.046919405
2021-11-08,0.0,0,0.030148659
2021-11-15,1.0,0,4.673308e-06
2021-11-22,1.0,1,0.9958313
2021-11-29,1.0,1,0.998307
2021-12-06,1.0,0,0.009323251
2021-12-13,1.0,1,0.842334
2021-12-20,1.0,1,0.87386215
2021-12-27,1.0,1,0.8148382
2022-01-03,1.0,1,0.9977985
2022-01-10,1.0,1,0.99779046
2022-01-17,1.0,1,0.9999993
2022-01-24,1.0,1,0.9998337
2022-01-31,1.0,1,0.9987023
2022-02-07,1.0,0,0.011433
2022-02-14,1.0,1,0.99998796
2022-02-21,1.0,1,0.99995935
2022-02-28,1.0,1,0.9999385
2022-03-07,1.0,1,0.9969273
2022-03-14,0.0,0,0.0013296739
2022-03-21,0.0,1,0.99956685
2022-03-28,0.0,0,0.0014143782
2022-04-04,0.0,0,0.00030265294
2022-04-11,0.0,0,0.021444099
2022-04-18,0.0,1,0.9666384
2022-04-25,0.0,0,0.00027349996
2022-05-02,0.0,1,0.971107
2022-05-09,0.0,0,0.02994549
2022-05-16,0.0,0,0.16688046
2022-05-23,0.0,0,0.020114606
2022-05-30,0.0,0,1.4239178e-05
2022-06-06,0.0,0,7.121152e-05
2022-06-13,1.0,1,0.92006147
2022-06-20,1.0,1,0.9991352
2022-06-27,1.0,1,0.98660463
2022-07-04,1.0,1,0.8829374
2022-07-11,1.0,1,0.9999912
2022-07-18,1.0,1,0.9989291
2022-07-25,1.0,1,0.98797405
2022-08-01,0.0,0,0.34173676
2022-08-08,0.0,0,0.11875516
2022-08-15,0.0,0,0.006197138
2022-08-22,0.0,0,0.00018218394
2022-08-29,0.0,1,0.9622847
2022-09-05,0.0,0,5.652708e-06
2022-09-12,0.0,0,0.00015661874
2022-09-19,1.0,0,1.4655726e-05
2022-09-26,1.0,0,0.06464008
2022-10-03,1.0,0,0.012755818
2022-10-10,1.0,1,0.9901648
2022-10-17,1.0,0,0.006804753
2022-10-24,1.0,0,0.0023929644
2022-10-31,0.0,1,0.92590064
2022-11-07,0.0,1,0.91983
2022-11-14,0.0,0,0.08633203
2022-11-21,0.0,0,0.00080265175
2022-11-28,1.0,0,0.001518845
2022-12-05,1.0,0,0.018039422
2022-12-12,1.0,1,0.9938035
2022-12-19,1.0,1,0.99998534
2022-12-26,1.0,0,0.4495598
2023-01-02,1.0,1,0.9999995
2023-01-09,1.0,1,0.9999428
2023-01-16,0.0,1,0.944207
2023-01-23,0.0,0,0.00017011749
2023-01-30,0.0,1,0.67841375
2023-02-06,0.0,0,0.01128734
2023-02-13,0.0,0,0.00020667435
2023-02-20,0.0,0,0.019463882
2023-02-27,0.0,0,0.001292714
2023-03-06,1.0,0,0.0018794101
2023-03-13,1.0,1,0.6920391
2023-03-20,1.0,1,0.9922156
2023-03-27,1.0,1,0.99511164
2023-04-03,0.0,1,0.98672926
2023-04-10,0.0,1,0.6817052
2023-04-17,0.0,1,0.8642918
2023-04-24,0.0,1,0.6510021
2023-05-01,0.0,0,0.03269295
2023-05-08,0.0,0,0.011430849
2023-05-15,0.0,1,0.7337511
2023-05-22,1.0,1,0.9815252
2023-05-29,1.0,1,0.6891491
2023-06-05,1.0,1,0.97713065
2023-06-12,1.0,1,0.51212066
2023-06-19,1.0,1,0.95794034
2023-06-26,1.0,1,0.9841435
2023-07-03,1.0,1,0.689605
2023-07-10,1.0,1,0.782276
2023-07-17,1.0,1,0.7842855
2023-07-24,1.0,1,0.95767033
2023-07-31,1.0,1,0.9888359
2023-08-07,0.0,1,0.99855894
2023-08-14,0.0,1,0.9987974
2023-08-21,0.0,0,0.3666071
2023-08-28,0.0,0,0.16840154
2023-09-04,0.0,0,0.24857828
2023-09-11,0.0,1,0.9694481
2023-09-18,0.0,0,0.0054913857
2023-09-25,0.0,0,0.35690346
2023-10-02,0.0,0,0.007927625
2023-10-09,1.0,0,0.11117218
2023-10-16,1.0,1,0.91357017
2023-10-23,1.0,1,0.6927959
2023-10-30,1.0,1,0.8109411
2023-11-06,1.0,1,0.9172166
2023-11-13,1.0,1,0.9784203
2023-11-20,1.0,1,0.99685293
2023-11-27,1.0,1,0.8576022
2023-12-04,1.0,1,0.99426055
2023-12-11,0.0,0,0.27103925
2023-12-18,0.0,0,0.17606562
2023-12-25,0.0,0,0.11537427
2024-01-01,0.0,1,0.6529839
2024-01-08,0.0,0,0.00020559867
2024-01-15,0.0,0,0.06848932
2024-01-22,0.0,0,0.029639773
2024-01-29,0.0,0,0.010210693
